gpa,skills,interest_area,experience_level,personality_type,availability_hours,communication_score,leadership_score,proposed_topic,topic_description,domain_interest,text_features,Group_ID,Group_Size
3.43,"ML, Forecasting",Data Analytics,Beginner,Introvert,13,4,2,Blockchain Management Dashboard,Develops a blockchain solution for educational purposes using ML.,Blockchain,"ML, Forecasting Data Analytics Beginner Introvert Blockchain",37,4
3.16,"Cryptography, Python",Cybersecurity,Beginner,Introvert,24,3,2,Data Privacy Detection System,Constructs a robust cybersecurity framework for scalable and efficient performance.,Cybersecurity,"Cryptography, Python Cybersecurity Beginner Introvert Cybersecurity",59,4
2.98,"Java, Spring Boot, MySQL",Full Stack,Intermediate,Extrovert,24,3,2,Real-time Project Management Monitor,Designs and develops a web application tool to enhance learning and collaboration.,Web Application,"Java, Spring Boot, MySQL Full Stack Intermediate Extrovert Web Application",61,4
3.79,"Java, Spring Boot, MySQL",DevOps,Intermediate,Introvert,13,4,5,Web Optimization Tool,Prototypes a cutting-edge web design application using emerging technologies.,Web Design,"Java, Spring Boot, MySQL DevOps Intermediate Introvert Web Design",2,4
2.73,"Network Security, Ethical Hacking",Cybersecurity,Intermediate,Introvert,9,3,3,AI-Based Resource Optimization System,Builds a comprehensive cloud platform with user-friendly interface and advanced features.,Cloud,"Network Security, Ethical Hacking Cybersecurity Intermediate Introvert Cloud",21,4
4.0,"HTML, CSS, JS, PHP",Deep Learning,Beginner,Extrovert,10,3,4,Health Tracking Chatbot Assistant,Develops a mobile development solution for educational purposes using HTML.,Mobile Development,"HTML, CSS, JS, PHP Deep Learning Beginner Extrovert Mobile Development",41,4
3.33,"Python, Data Visualization, Tableau",AI & Data,Beginner,Ambivert,8,4,5,AI Analytics Platform,Creates an innovative ai & nlp application with modern technologies and best practices.,AI & NLP,"Python, Data Visualization, Tableau AI & Data Beginner Ambivert AI & NLP",74,4
3.63,"HTML, CSS, JS, PHP",Mobile + AI,Intermediate,Introvert,9,2,5,Automated Blockchain Framework,Designs and develops a blockchain tool to enhance learning and collaboration.,Blockchain,"HTML, CSS, JS, PHP Mobile + AI Intermediate Introvert Blockchain",5,4
2.81,"MQTT, Cloud IoT",IoT & Hardware,Intermediate,Introvert,10,4,5,Chatbot Detection System,Constructs a robust nlp framework for scalable and efficient performance.,NLP,"MQTT, Cloud IoT IoT & Hardware Intermediate Introvert NLP",36,4
3.55,"Network Security, Ethical Hacking",Cybersecurity,Beginner,Ambivert,10,3,2,Text Summarization Analytics Platform,Creates an innovative nlp application with modern technologies and best practices.,NLP,"Network Security, Ethical Hacking Cybersecurity Beginner Ambivert NLP",21,4
3.79,"Java, Spring Boot, MySQL",DevOps,Intermediate,Introvert,16,2,5,Gesture Recognition Detection System,Prototypes a cutting-edge computer vision application using emerging technologies.,Computer Vision,"Java, Spring Boot, MySQL DevOps Intermediate Introvert Computer Vision",65,4
3.65,"Python, Data Visualization, Tableau",AI & Data,Beginner,Introvert,21,3,3,Intelligent Web Solution,Constructs a robust web development framework for scalable and efficient performance.,Web Development,"Python, Data Visualization, Tableau AI & Data Beginner Introvert Web Development",73,4
3.68,"Python, Django, PostgreSQL",Frontend Design,Intermediate,Introvert,8,4,5,Intelligent Gesture Recognition Solution,Implements a computer vision system to solve real-world problems in academic settings.,Computer Vision,"Python, Django, PostgreSQL Frontend Design Intermediate Introvert Computer Vision",49,4
3.3,"JavaScript, React, Node.js, MongoDB",DevOps,Advanced,Neutral,12,2,2,Intelligent Blockchain Solution,Builds a comprehensive blockchain platform with user-friendly interface and advanced features.,Blockchain,"JavaScript, React, Node.js, MongoDB DevOps Advanced Neutral Blockchain",59,4
3.38,"Python, Data Visualization, Tableau",AI & Data,Beginner,Introvert,8,4,5,Learning Management Analytics Platform,Engineers a secure web application solution with focus on data privacy and integrity.,Web Application,"Python, Data Visualization, Tableau AI & Data Beginner Introvert Web Application",73,4
2.84,"Cryptography, Python",Cybersecurity,Advanced,Neutral,8,2,4,Web Chatbot Assistant,Designs and develops a web development tool to enhance learning and collaboration.,Web Development,"Cryptography, Python Cybersecurity Advanced Neutral Web Development",33,4
3.86,"Python, Django, PostgreSQL",Mobile + AI,Intermediate,Extrovert,20,4,3,Web Detection System,Designs and develops a web design tool to enhance learning and collaboration.,Web Design,"Python, Django, PostgreSQL Mobile + AI Intermediate Extrovert Web Design",57,4
3.08,"Python, Django, PostgreSQL",Deep Learning,Beginner,Introvert,24,3,3,Automated Web Framework,Designs and develops a web development tool to enhance learning and collaboration.,Web Development,"Python, Django, PostgreSQL Deep Learning Beginner Introvert Web Development",4,4
3.25,"Python, Data Visualization, Tableau",AI & Data,Intermediate,Extrovert,12,3,5,Web Prediction Model,Builds a comprehensive web development platform with user-friendly interface and advanced features.,Web Development,"Python, Data Visualization, Tableau AI & Data Intermediate Extrovert Web Development",74,4
2.78,"Python, Django, PostgreSQL",Mobile + AI,Beginner,Extrovert,16,4,2,Object Detection Recommendation System,Develops a computer vision solution for educational purposes using Python.,Computer Vision,"Python, Django, PostgreSQL Mobile + AI Beginner Extrovert Computer Vision",41,4
2.5,"HTML, CSS, JS, PHP",Web Development,Intermediate,Neutral,15,2,2,Gesture Recognition Chatbot Assistant,Engineers a secure computer vision solution with focus on data privacy and integrity.,Computer Vision,"HTML, CSS, JS, PHP Web Development Intermediate Neutral Computer Vision",55,4
3.96,"HTML, CSS, JS, PHP",Deep Learning,Intermediate,Extrovert,21,4,2,Face Recognition Detection System,Builds a comprehensive computer vision platform with user-friendly interface and advanced features.,Computer Vision,"HTML, CSS, JS, PHP Deep Learning Intermediate Extrovert Computer Vision",72,4
3.11,"Java, Spring Boot, MySQL",Mobile + AI,Intermediate,Introvert,8,3,3,Smart Home Chatbot Assistant,Creates an innovative iot application with modern technologies and best practices.,IoT,"Java, Spring Boot, MySQL Mobile + AI Intermediate Introvert IoT",56,4
3.3,"JavaScript, React, Node.js, MongoDB",Frontend Design,Intermediate,Neutral,23,4,3,Automated Gesture Recognition Framework,Prototypes a cutting-edge computer vision application using emerging technologies.,Computer Vision,"JavaScript, React, Node.js, MongoDB Frontend Design Intermediate Neutral Computer Vision",53,4
3.6,Penetration Testing,Cybersecurity,Intermediate,Introvert,8,2,2,Text Summarization Optimization Tool,Builds a comprehensive nlp platform with user-friendly interface and advanced features.,NLP,Penetration Testing Cybersecurity Intermediate Introvert NLP,26,4
3.48,"Python, Django, PostgreSQL",Mobile + AI,Beginner,Extrovert,21,4,2,Smart Language Translation Platform,Engineers a secure nlp solution with focus on data privacy and integrity.,NLP,"Python, Django, PostgreSQL Mobile + AI Beginner Extrovert NLP",31,4
3.26,"Python, R, SQL, Statistics",AI & Data,Beginner,Neutral,9,4,2,Web Recommendation System,Designs and develops a web design tool to enhance learning and collaboration.,Web Design,"Python, R, SQL, Statistics AI & Data Beginner Neutral Web Design",39,4
3.51,"HTML, CSS, JS, PHP",Frontend Design,Intermediate,Ambivert,11,3,2,AI Prediction Model,Prototypes a cutting-edge ai & nlp application using emerging technologies.,AI & NLP,"HTML, CSS, JS, PHP Frontend Design Intermediate Ambivert AI & NLP",76,4
3.23,"JavaScript, React, Node.js, MongoDB",Deep Learning,Intermediate,Extrovert,24,3,5,Market Analysis Chatbot Assistant,Prototypes a cutting-edge data science application using emerging technologies.,Data Science,"JavaScript, React, Node.js, MongoDB Deep Learning Intermediate Extrovert Data Science",54,4
3.21,"Unity, C#, 3D Modeling",Game Development,Intermediate,Extrovert,24,3,3,Event Management Analytics Platform,Designs and develops a mobile development tool to enhance learning and collaboration.,Mobile Development,"Unity, C#, 3D Modeling Game Development Intermediate Extrovert Mobile Development",64,4
3.74,"SIEM Tools, Risk Assessment",Cybersecurity,Beginner,Extrovert,16,3,5,AI Chatbot Assistant,Builds a comprehensive ai & nlp platform with user-friendly interface and advanced features.,AI & NLP,"SIEM Tools, Risk Assessment Cybersecurity Beginner Extrovert AI & NLP",13,4
4.0,"C++, Arduino, Raspberry Pi",IoT & Hardware,Beginner,Introvert,11,2,4,AI Management Dashboard,Creates an innovative ai & nlp application with modern technologies and best practices.,AI & NLP,"C++, Arduino, Raspberry Pi IoT & Hardware Beginner Introvert AI & NLP",14,4
3.73,"Python, Django, PostgreSQL",Mobile + AI,Advanced,Extrovert,10,3,2,Cost Management Optimization Tool,Engineers a secure cloud solution with focus on data privacy and integrity.,Cloud,"Python, Django, PostgreSQL Mobile + AI Advanced Extrovert Cloud",32,4
3.47,"AWS, Docker, Kubernetes",Cloud Computing,Beginner,Extrovert,20,4,3,Smart AI Platform,Implements a ai & nlp system to solve real-world problems in academic settings.,AI & NLP,"AWS, Docker, Kubernetes Cloud Computing Beginner Extrovert AI & NLP",8,4
3.07,"Java, Spring Boot, MySQL",Mobile + AI,Beginner,Extrovert,15,4,2,Real-time Gesture Recognition Monitor,Develops a computer vision solution for educational purposes using Java.,Computer Vision,"Java, Spring Boot, MySQL Mobile + AI Beginner Extrovert Computer Vision",56,4
3.03,"JavaScript, React, Node.js, MongoDB",Deep Learning,Beginner,Neutral,17,3,4,AI-Based Web System,Implements a web design system to solve real-world problems in academic settings.,Web Design,"JavaScript, React, Node.js, MongoDB Deep Learning Beginner Neutral Web Design",54,4
3.84,"Unreal Engine, C++, Game Design",Game Development,Advanced,Introvert,24,2,5,Real-time Face Recognition Monitor,Constructs a robust computer vision framework for scalable and efficient performance.,Computer Vision,"Unreal Engine, C++, Game Design Game Development Advanced Introvert Computer Vision",12,4
2.54,"JavaScript, React, Node.js, MongoDB",Natural Language Processing,Advanced,Extrovert,10,3,5,Real-time AI Monitor,Constructs a robust ai & nlp framework for scalable and efficient performance.,AI & NLP,"JavaScript, React, Node.js, MongoDB Natural Language Processing Advanced Extrovert AI & NLP",62,4
3.54,"HTML, CSS, JS, PHP",Deep Learning,Intermediate,Ambivert,17,3,5,Automated Student Performance Framework,Prototypes a cutting-edge data science application using emerging technologies.,Data Science,"HTML, CSS, JS, PHP Deep Learning Intermediate Ambivert Data Science",39,4
3.49,"Java, Spring Boot, MySQL",Frontend Design,Beginner,Extrovert,12,3,5,Real-time Load Balancing Monitor,Develops a cloud solution for educational purposes using Java.,Cloud,"Java, Spring Boot, MySQL Frontend Design Beginner Extrovert Cloud",51,4
2.88,"Python, Pandas, Power BI",Data Analytics,Intermediate,Neutral,23,2,2,Smart Blockchain Platform,Implements a blockchain system to solve real-world problems in academic settings.,Blockchain,"Python, Pandas, Power BI Data Analytics Intermediate Neutral Blockchain",21,4
3.6,"Java, Spring Boot, MySQL",Web Development,Advanced,Ambivert,20,2,4,AI-Based Market Analysis System,Develops a data science solution for educational purposes using Java.,Data Science,"Java, Spring Boot, MySQL Web Development Advanced Ambivert Data Science",35,4
3.89,"HTML, CSS, JS, PHP",Web Development,Advanced,Introvert,24,2,2,Project Management Analytics Platform,Engineers a secure web application solution with focus on data privacy and integrity.,Web Application,"HTML, CSS, JS, PHP Web Development Advanced Introvert Web Application",4,4
3.26,"HTML, CSS, JS, PHP",Natural Language Processing,Intermediate,Ambivert,13,4,2,Web Management Dashboard,Designs and develops a web design tool to enhance learning and collaboration.,Web Design,"HTML, CSS, JS, PHP Natural Language Processing Intermediate Ambivert Web Design",46,4
3.28,"Python, Embedded Systems",IoT & Hardware,Intermediate,Extrovert,21,3,3,Intelligent Face Recognition Solution,Designs and develops a computer vision tool to enhance learning and collaboration.,Computer Vision,"Python, Embedded Systems IoT & Hardware Intermediate Extrovert Computer Vision",26,4
3.43,"HTML, CSS, JS, PHP",Frontend Design,Beginner,Extrovert,14,4,3,Real-time Learning Management Monitor,Implements a web application system to solve real-world problems in academic settings.,Web Application,"HTML, CSS, JS, PHP Frontend Design Beginner Extrovert Web Application",34,4
3.2,"Cryptography, Python",Cybersecurity,Advanced,Introvert,12,3,3,Resource Optimization Analytics Platform,Prototypes a cutting-edge cloud application using emerging technologies.,Cloud,"Cryptography, Python Cybersecurity Advanced Introvert Cloud",60,4
2.26,"C++, Arduino, Raspberry Pi",IoT & Hardware,Intermediate,Neutral,14,3,5,Smart Game Platform,Constructs a robust game dev framework for scalable and efficient performance.,Game Dev,"C++, Arduino, Raspberry Pi IoT & Hardware Intermediate Neutral Game Dev",14,4
3.04,"Java, Spring Boot, MySQL",Web Development,Intermediate,Introvert,9,2,3,Image Classification Prediction Model,Builds a comprehensive computer vision platform with user-friendly interface and advanced features.,Computer Vision,"Java, Spring Boot, MySQL Web Development Intermediate Introvert Computer Vision",65,4
3.39,"Python, ML, Data Science, TensorFlow",AI & Data,Intermediate,Introvert,24,3,2,Game Detection System,Prototypes a cutting-edge game dev application using emerging technologies.,Game Dev,"Python, ML, Data Science, TensorFlow AI & Data Intermediate Introvert Game Dev",19,4
2.55,"Python, Embedded Systems",IoT & Hardware,Intermediate,Introvert,18,4,5,Intelligent Load Balancing Solution,Develops a cloud solution for educational purposes using Python.,Cloud,"Python, Embedded Systems IoT & Hardware Intermediate Introvert Cloud",28,4
4.0,"Cryptography, Python",Cybersecurity,Intermediate,Extrovert,11,4,2,Intelligent Language Translation Solution,Designs and develops a nlp tool to enhance learning and collaboration.,NLP,"Cryptography, Python Cybersecurity Intermediate Extrovert NLP",33,4
2.86,"JavaScript, React, Node.js, MongoDB",Web Development,Beginner,Extrovert,12,4,5,Real-time Threat Detection Monitor,Constructs a robust cybersecurity framework for scalable and efficient performance.,Cybersecurity,"JavaScript, React, Node.js, MongoDB Web Development Beginner Extrovert Cybersecurity",1,4
3.26,"Java, Spring Boot, MySQL",Mobile + AI,Beginner,Introvert,20,4,2,Vulnerability Assessment Analytics Platform,Develops a cybersecurity solution for educational purposes using Java.,Cybersecurity,"Java, Spring Boot, MySQL Mobile + AI Beginner Introvert Cybersecurity",56,4
2.89,"Python, Django, PostgreSQL",Natural Language Processing,Intermediate,Extrovert,23,3,2,Threat Detection Detection System,Prototypes a cutting-edge cybersecurity application using emerging technologies.,Cybersecurity,"Python, Django, PostgreSQL Natural Language Processing Intermediate Extrovert Cybersecurity",48,4
3.01,"Java, Spring Boot, MySQL",Frontend Design,Beginner,Neutral,21,3,2,Data Privacy Optimization Tool,Implements a cybersecurity system to solve real-world problems in academic settings.,Cybersecurity,"Java, Spring Boot, MySQL Frontend Design Beginner Neutral Cybersecurity",51,4
3.53,"Python, Django, PostgreSQL",Full Stack,Advanced,Introvert,22,2,3,Real-time Vulnerability Assessment Monitor,Implements a cybersecurity system to solve real-world problems in academic settings.,Cybersecurity,"Python, Django, PostgreSQL Full Stack Advanced Introvert Cybersecurity",66,4
2.98,"MQTT, Cloud IoT",IoT & Hardware,Beginner,Introvert,14,3,3,Blockchain Analytics Platform,Develops a blockchain solution for educational purposes using MQTT.,Blockchain,"MQTT, Cloud IoT IoT & Hardware Beginner Introvert Blockchain",36,4
2.94,"Unreal Engine, C++, Game Design",Game Development,Intermediate,Introvert,16,2,3,Real-time Event Management Monitor,Engineers a secure mobile development solution with focus on data privacy and integrity.,Mobile Development,"Unreal Engine, C++, Game Design Game Development Intermediate Introvert Mobile Development",10,4
3.12,"Java, Spring Boot, MySQL",Deep Learning,Beginner,Introvert,9,4,5,Real-time Resource Optimization Monitor,Develops a cloud solution for educational purposes using Java.,Cloud,"Java, Spring Boot, MySQL Deep Learning Beginner Introvert Cloud",69,4
3.93,"Python, ML, Data Science, TensorFlow",AI & Data,Beginner,Extrovert,23,4,3,Load Balancing Prediction Model,Develops a cloud solution for educational purposes using Python.,Cloud,"Python, ML, Data Science, TensorFlow AI & Data Beginner Extrovert Cloud",17,4
3.32,"JavaScript, React, Node.js, MongoDB",Frontend Design,Advanced,Extrovert,9,4,5,Load Balancing Detection System,Constructs a robust cloud framework for scalable and efficient performance.,Cloud,"JavaScript, React, Node.js, MongoDB Frontend Design Advanced Extrovert Cloud",68,4
2.97,"JavaScript, React, Node.js, MongoDB",Natural Language Processing,Intermediate,Neutral,9,4,4,Health Prediction Recommendation System,Designs and develops a data science tool to enhance learning and collaboration.,Data Science,"JavaScript, React, Node.js, MongoDB Natural Language Processing Intermediate Neutral Data Science",70,4
3.03,"HTML, CSS, JS, PHP",Natural Language Processing,Intermediate,Introvert,24,4,2,Vulnerability Assessment Optimization Tool,Builds a comprehensive cybersecurity platform with user-friendly interface and advanced features.,Cybersecurity,"HTML, CSS, JS, PHP Natural Language Processing Intermediate Introvert Cybersecurity",45,4
3.53,"Unity, C#, 3D Modeling",Game Development,Intermediate,Introvert,17,2,4,Network Monitoring Prediction Model,Builds a comprehensive cybersecurity platform with user-friendly interface and advanced features.,Cybersecurity,"Unity, C#, 3D Modeling Game Development Intermediate Introvert Cybersecurity",7,4
3.63,"Python, ML, Data Science, TensorFlow",AI & Data,Intermediate,Introvert,10,3,4,Object Detection Management Dashboard,Builds a comprehensive computer vision platform with user-friendly interface and advanced features.,Computer Vision,"Python, ML, Data Science, TensorFlow AI & Data Intermediate Introvert Computer Vision",17,4
2.85,"Azure, Terraform, CI/CD",Cloud Computing,Beginner,Neutral,16,3,5,Intelligent Text Summarization Solution,Prototypes a cutting-edge nlp application using emerging technologies.,NLP,"Azure, Terraform, CI/CD Cloud Computing Beginner Neutral NLP",16,4
3.53,"Python, Embedded Systems",IoT & Hardware,Intermediate,Neutral,12,2,4,Cost Management Recommendation System,Builds a comprehensive cloud platform with user-friendly interface and advanced features.,Cloud,"Python, Embedded Systems IoT & Hardware Intermediate Neutral Cloud",27,4
3.5,"Python, Pandas, Power BI",Data Analytics,Intermediate,Neutral,15,4,5,AI-Based Blockchain System,Engineers a secure blockchain solution with focus on data privacy and integrity.,Blockchain,"Python, Pandas, Power BI Data Analytics Intermediate Neutral Blockchain",22,4
4.0,"Python, ML, Data Science, TensorFlow",AI & Data,Beginner,Introvert,15,4,4,Real-time Sentiment Analysis Monitor,Implements a nlp system to solve real-world problems in academic settings.,NLP,"Python, ML, Data Science, TensorFlow AI & Data Beginner Introvert NLP",19,4
2.67,"Python, Django, PostgreSQL",Full Stack,Beginner,Extrovert,22,3,2,Object Detection Detection System,Engineers a secure computer vision solution with focus on data privacy and integrity.,Computer Vision,"Python, Django, PostgreSQL Full Stack Beginner Extrovert Computer Vision",42,4
3.63,"SIEM Tools, Risk Assessment",Cybersecurity,Beginner,Extrovert,9,4,2,Resource Optimization Recommendation System,Constructs a robust cloud framework for scalable and efficient performance.,Cloud,"SIEM Tools, Risk Assessment Cybersecurity Beginner Extrovert Cloud",13,4
3.7,"JavaScript, React, Node.js, MongoDB",Natural Language Processing,Beginner,Neutral,22,2,5,Agriculture Detection System,Designs and develops a iot tool to enhance learning and collaboration.,IoT,"JavaScript, React, Node.js, MongoDB Natural Language Processing Beginner Neutral IoT",78,4
3.65,"HTML, CSS, JS, PHP",Deep Learning,Intermediate,Extrovert,12,4,4,Blockchain Recommendation System,Prototypes a cutting-edge blockchain application using emerging technologies.,Blockchain,"HTML, CSS, JS, PHP Deep Learning Intermediate Extrovert Blockchain",73,4
3.84,"Java, Spring Boot, MySQL",Natural Language Processing,Intermediate,Introvert,21,4,5,Smart Threat Detection Platform,Develops a cybersecurity solution for educational purposes using Java.,Cybersecurity,"Java, Spring Boot, MySQL Natural Language Processing Intermediate Introvert Cybersecurity",46,4
3.34,"Flutter, Dart, Firebase",Mobile Apps,Advanced,Neutral,17,2,5,Network Monitoring Analytics Platform,Implements a cybersecurity system to solve real-world problems in academic settings.,Cybersecurity,"Flutter, Dart, Firebase Mobile Apps Advanced Neutral Cybersecurity",9,4
3.59,"Unreal Engine, C++, Game Design",Game Development,Advanced,Ambivert,8,3,2,Smart Home Recommendation System,Builds a comprehensive iot platform with user-friendly interface and advanced features.,IoT,"Unreal Engine, C++, Game Design Game Development Advanced Ambivert IoT",11,4
3.32,"Python, Django, PostgreSQL",Frontend Design,Beginner,Extrovert,16,4,5,AI Recommendation System,Develops a ai & nlp solution for educational purposes using Python.,AI & NLP,"Python, Django, PostgreSQL Frontend Design Beginner Extrovert AI & NLP",50,4
3.74,"Python, Django, PostgreSQL",Deep Learning,Intermediate,Ambivert,13,3,4,Learning Management Optimization Tool,Implements a web application system to solve real-world problems in academic settings.,Web Application,"Python, Django, PostgreSQL Deep Learning Intermediate Ambivert Web Application",71,4
2.7,"GCP, Microservices, Serverless",Cloud Computing,Beginner,Extrovert,14,4,3,Energy Monitoring Prediction Model,Develops a iot solution for educational purposes using GCP.,IoT,"GCP, Microservices, Serverless Cloud Computing Beginner Extrovert IoT",24,4
3.2,"Unity, C#, 3D Modeling",Game Development,Beginner,Extrovert,24,3,2,Campus Navigation Analytics Platform,Builds a comprehensive mobile development platform with user-friendly interface and advanced features.,Mobile Development,"Unity, C#, 3D Modeling Game Development Beginner Extrovert Mobile Development",64,4
2.98,"Unreal Engine, C++, Game Design",Game Development,Intermediate,Introvert,20,3,4,Chatbot Optimization Tool,Implements a nlp system to solve real-world problems in academic settings.,NLP,"Unreal Engine, C++, Game Design Game Development Intermediate Introvert NLP",11,4
3.23,"HTML, CSS, JS, PHP",DevOps,Intermediate,Neutral,23,4,3,Intelligent Image Classification Solution,Creates an innovative computer vision application with modern technologies and best practices.,Computer Vision,"HTML, CSS, JS, PHP DevOps Intermediate Neutral Computer Vision",55,4
2.24,"Java, Spring Boot, MySQL",Web Development,Intermediate,Extrovert,8,4,2,Web Design Project 99,Implements a web design system to solve real-world problems in academic settings.,Web Design,"Java, Spring Boot, MySQL Web Development Intermediate Extrovert Web Design",61,4
3.74,"Unreal Engine, C++, Game Design",Game Development,Beginner,Neutral,10,4,2,Game Prediction Model,Creates an innovative game dev application with modern technologies and best practices.,Game Dev,"Unreal Engine, C++, Game Design Game Development Beginner Neutral Game Dev",11,4
3.8,"Swift, iOS Development",Mobile Apps,Intermediate,Extrovert,23,4,4,Threat Detection Chatbot Assistant,Engineers a secure cybersecurity solution with focus on data privacy and integrity.,Cybersecurity,"Swift, iOS Development Mobile Apps Intermediate Extrovert Cybersecurity",28,4
3.47,"Circuit Design, Sensors",IoT & Hardware,Beginner,Ambivert,9,2,4,Environmental Sensing Detection System,Creates an innovative iot application with modern technologies and best practices.,IoT,"Circuit Design, Sensors IoT & Hardware Beginner Ambivert IoT",25,4
3.12,"HTML, CSS, JS, PHP",Full Stack,Intermediate,Introvert,16,3,2,Intelligent Game Solution,Builds a comprehensive game dev platform with user-friendly interface and advanced features.,Game Dev,"HTML, CSS, JS, PHP Full Stack Intermediate Introvert Game Dev",67,4
3.74,"Java, Spring Boot, MySQL",Mobile + AI,Intermediate,Extrovert,21,3,5,Smart Image Classification Platform,Develops a computer vision solution for educational purposes using Java.,Computer Vision,"Java, Spring Boot, MySQL Mobile + AI Intermediate Extrovert Computer Vision",65,4
3.42,"Unity, C#, 3D Modeling",Game Development,Beginner,Extrovert,18,4,5,Threat Detection Recommendation System,Designs and develops a cybersecurity tool to enhance learning and collaboration.,Cybersecurity,"Unity, C#, 3D Modeling Game Development Beginner Extrovert Cybersecurity",64,4
2.62,"Python, Django, PostgreSQL",Web Development,Intermediate,Neutral,17,2,3,AI-Based E-commerce System,Develops a web application solution for educational purposes using Python.,Web Application,"Python, Django, PostgreSQL Web Development Intermediate Neutral Web Application",71,4
4.0,"Python, Embedded Systems",IoT & Hardware,Beginner,Extrovert,13,3,5,Automated E-commerce Framework,Develops a web application solution for educational purposes using Python.,Web Application,"Python, Embedded Systems IoT & Hardware Beginner Extrovert Web Application",27,4
3.29,"Circuit Design, Sensors",IoT & Hardware,Intermediate,Neutral,21,3,5,Real-time Web Monitor,Creates an innovative web development application with modern technologies and best practices.,Web Development,"Circuit Design, Sensors IoT & Hardware Intermediate Neutral Web Development",26,4
3.51,"JavaScript, React, Node.js, MongoDB",Natural Language Processing,Intermediate,Extrovert,22,4,4,Language Translation Detection System,Develops a nlp solution for educational purposes using JavaScript.,NLP,"JavaScript, React, Node.js, MongoDB Natural Language Processing Intermediate Extrovert NLP",62,4
